RA,Fase,Turma,Nome Anonimizado,Ano nasc,Idade,Gênero,Ano ingresso,Instituição de ensino,Pedra,INDE,Nº Av,IAA,IEG,IPS,IDA,Mat,Por,Ing,IPV,IAN,Fase Ideal,Defasagem,Ano,Data de Nasc,IPP,Escola,Ativo/ Inativo
RA-754,ALFA,ALFA M - G0/G1,Aluno-754,,10,Masculino,2022,Pública,Agata,6.0537,2.0,9.5,6.1,2.52,5.6,5.7,5.4,,6.67,5.0,Fase 2 (5° e 6° ano),-2,2023,2013-05-09 00:00:00,6.875,,
RA-947,ALFA,ALFA M - G0/G1,Aluno-947,,8,Masculino,2023,Pública,Agata,6.3457,2.0,9.0,7.9,7.52,3.3,1.7,4.9,,5.08,10.0,ALFA (1° e 2° ano),0,2023,2015-02-03 00:00:00,4.375,,
RA-948,ALFA,ALFA M - G0/G1,Aluno-948,,8,Feminino,2023,Pública,Agata,6.5277,2.0,9.0,7.6,7.52,0.0,0.0,0.0,,8.34,10.0,ALFA (1° e 2° ano),0,2023,4/26/2015,6.875,,
RA-949,ALFA,ALFA M - G0/G1,Aluno-949,,8,Feminino,2023,Pública,Topázio,8.0172,2.0,9.5,8.1,7.52,8.9,9.1,8.6,,6.5,10.0,ALFA (1° e 2° ano),0,2023,2015-03-08 00:00:00,6.25,,
RA-950,ALFA,ALFA M - G0/G1,Aluno-950,,8,Feminino,2023,Pública,Topázio,8.8862,2.0,9.0,10.0,7.52,9.3,9.5,9.0,,8.17,10.0,ALFA (1° e 2° ano),0,2023,11/17/2014,7.5,,
RA-773,ALFA,ALFA M - G0/G1,Aluno-773,,9,Feminino,2022,Pública,Agata,6.9287,2.0,10.0,7.5,2.52,7.9,8.0,7.8,,7.67,5.0,Fase 1 (3° e 4° ano),-1,2023,12/31/2013,5.625,,
RA-951,ALFA,ALFA M - G0/G1,Aluno-951,,7,Feminino,2023,Pública,Topázio,8.8902,2.0,9.5,9.7,7.52,8.4,8.5,8.3,,9.09,10.0,ALFA (1° e 2° ano),0,2023,5/23/2016,7.5,,
RA-769,ALFA,ALFA N - G2/G3,Aluno-769,,10,Feminino,2022,Pública,Ametista,7.85345,2.0,10.0,9.3,3.77,8.0,8.2,7.8,,8.675,5.0,Fase 2 (5° e 6° ano),-2,2023,8/23/2013,7.8125,,
RA-952,ALFA,ALFA N - G2/G3,Aluno-952,,8,Masculino,2023,Pública,Topázio,8.37095,2.0,9.5,9.2,3.77,9.0,8.8,9.2,,8.425,10.0,ALFA (1° e 2° ano),0,2023,9/22/2015,7.1875,,
RA-826,ALFA,ALFA N - G2/G3,Aluno-826,,9,Masculino,2022,Pública,Ametista,7.77645,2.0,10.0,10.0,3.77,7.3,7.0,7.5,,8.34,5.0,Fase 1 (3° e 4° ano),-1,2023,2014-06-03 00:00:00,7.8125,,
RA-953,ALFA,ALFA N - G2/G3,Aluno-953,,8,Feminino,2023,Pública,Ametista,7.54005,2.0,7.4,8.8,3.14,8.3,8.5,8.0,,7.09,10.0,ALFA (1° e 2° ano),0,2023,2015-04-02 00:00:00,6.5625,,
RA-954,ALFA,ALFA N - G2/G3,Aluno-954,,8,Feminino,2023,Pública,Agata,6.82375,2.0,0.0,8.3,3.14,7.7,7.8,7.5,,8.005,10.0,ALFA (1° e 2° ano),0,2023,4/13/2015,7.1875,,
RA-780,ALFA,ALFA N - G2/G3,Aluno-780,,10,Feminino,2022,Pública,Ametista,7.7842,2.0,9.5,8.8,3.14,8.3,8.0,8.5,,8.675,5.0,Fase 2 (5° e 6° ano),-2,2023,8/22/2013,8.75,,
RA-955,ALFA,ALFA N - G2/G3,Aluno-955,,10,Feminino,2023,Pública,Ametista,7.1297,2.0,9.0,8.8,3.14,7.8,8.0,7.5,,7.09,5.0,Fase 2 (5° e 6° ano),-2,2023,4/28/2013,6.875,,
RA-831,ALFA,ALFA N - G2/G3,Aluno-831,,9,Masculino,2022,Pública,Ametista,7.71645,2.0,8.0,9.4,3.77,8.3,8.8,7.8,,8.59,5.0,Fase 1 (3° e 4° ano),-1,2023,12/19/2013,7.8125,,
RA-783,ALFA,ALFA N - G2/G3,Aluno-783,,9,Masculino,2021,Pública,Ametista,7.2922,2.0,9.5,6.8,3.77,8.9,9.0,8.7,,7.925,5.0,Fase 1 (3° e 4° ano),-1,2023,2014-12-04 00:00:00,7.5,,
RA-774,ALFA,ALFA N - G2/G3,Aluno-774,,9,Feminino,2022,Pública,Quartzo,5.852,2.0,0.0,9.5,3.14,6.9,7.7,6.0,,6.34,5.0,Fase 1 (3° e 4° ano),-1,2023,2014-09-09 00:00:00,5.0,,
RA-748,ALFA,ALFA O - G2/G3,Aluno-748,,10,Masculino,2022,Pública,Topázio,8.7142,2.0,9.5,9.7,7.52,9.1,9.0,9.2,,10.01,5.0,Fase 2 (5° e 6° ano),-2,2023,2013-08-06 00:00:00,7.5,,
RA-749,ALFA,ALFA O - G2/G3,Aluno-749,,9,Masculino,2022,Pública,Ametista,7.7597,2.0,10.0,9.0,7.52,7.3,7.3,7.3,,8.425,5.0,Fase 1 (3° e 4° ano),-1,2023,12/23/2013,5.625,,
RA-956,ALFA,ALFA O - G2/G3,Aluno-956,,11,Masculino,2023,Pública,Ametista,7.7312,2.0,8.0,7.5,7.52,7.8,7.8,7.8,,9.345,5.0,Fase 2 (5° e 6° ano),-2,2023,10/18/2012,7.5,,
RA-787,ALFA,ALFA O - G2/G3,Aluno-787,,9,Masculino,2022,Pública,Ametista,7.5227,2.0,9.0,9.8,7.52,5.9,6.0,5.8,,8.34,5.0,Fase 1 (3° e 4° ano),-1,2023,2014-01-08 00:00:00,5.625,,
RA-957,ALFA,ALFA O - G2/G3,Aluno-957,,8,Feminino,2023,Pública,Topázio,9.1672,2.0,10.0,9.3,7.52,9.1,9.0,9.2,,9.925,10.0,ALFA (1° e 2° ano),0,2023,2014-01-12 00:00:00,7.5,,
RA-753,ALFA,ALFA O - G2/G3,Aluno-753,,9,Feminino,2022,Pública,Topázio,8.6672,2.0,9.0,9.9,7.52,9.0,9.0,9.0,,9.925,5.0,Fase 1 (3° e 4° ano),-1,2023,2014-11-06 00:00:00,7.5,,
RA-958,ALFA,ALFA O - G2/G3,Aluno-958,,8,Feminino,2023,Pública,Topázio,9.2902,2.0,10.0,9.8,7.52,9.3,9.3,9.3,,9.84,10.0,ALFA (1° e 2° ano),0,2023,2015-11-03 00:00:00,7.5,,
RA-755,ALFA,ALFA O - G2/G3,Aluno-755,,9,Masculino,2022,Pública,Topázio,8.7442,2.0,10.0,9.5,7.52,9.2,9.2,9.2,,10.01,5.0,Fase 1 (3° e 4° ano),-1,2023,3/22/2014,7.5,,
RA-763,ALFA,ALFA O - G2/G3,Aluno-763,,10,Feminino,2021,Pública,Agata,6.7215,2.0,0.0,9.2,3.14,7.9,7.8,8.0,,9.0,5.0,Fase 2 (5° e 6° ano),-2,2023,12/19/2012,6.875,,
RA-757,ALFA,ALFA O - G2/G3,Aluno-757,,10,Feminino,2022,Pública,Topázio,8.6742,2.0,9.0,9.6,7.52,9.3,9.5,9.0,,10.01,5.0,Fase 2 (5° e 6° ano),-2,2023,2/28/2013,7.5,,
RA-959,ALFA,ALFA O - G2/G3,Aluno-959,,8,Masculino,2023,Pública,Topázio,8.6677,2.0,10.0,9.6,7.52,7.7,7.7,7.7,,8.84,10.0,ALFA (1° e 2° ano),0,2023,8/17/2015,6.875,,
RA-960,ALFA,ALFA O - G2/G3,Aluno-960,,10,Masculino,2023,Pública,Ametista,7.0847,2.0,8.5,10.0,7.52,6.3,6.5,6.0,,5.85,5.0,Fase 2 (5° e 6° ano),-2,2023,5/17/2013,5.625,,
RA-961,ALFA,ALFA O - G2/G3,Aluno-961,,9,Masculino,2023,Pública,Quartzo,5.99625,2.0,0.0,8.7,2.52,6.2,6.2,6.2,,8.665,5.0,Fase 1 (3° e 4° ano),-1,2023,1/21/2014,5.3125,,
RA-962,ALFA,ALFA Q - G2/G3,Aluno-962,,9,Feminino,2023,Pública,Topázio,8.4742,2.0,9.0,9.2,7.52,8.7,9.5,7.8,,10.01,5.0,Fase 1 (3° e 4° ano),-1,2023,2014-02-01 00:00:00,7.5,,
RA-805,ALFA,ALFA Q - G2/G3,Aluno-805,,9,Masculino,2021,Pública,Agata,6.492,2.0,0.0,9.1,7.52,6.8,6.8,6.8,,7.175,5.0,Fase 1 (3° e 4° ano),-1,2023,6/14/2014,6.25,,
RA-806,ALFA,ALFA Q - G2/G3,Aluno-806,,9,Masculino,2022,Pública,Ametista,7.2937,2.0,8.5,8.3,6.27,7.8,7.8,7.7,,7.095,5.0,Fase 1 (3° e 4° ano),-1,2023,2/28/2014,6.875,,
RA-807,ALFA,ALFA Q - G2/G3,Aluno-807,,9,Masculino,2022,Pública,Ametista,7.8632,2.0,9.5,9.1,7.52,8.0,8.3,7.7,,8.08,5.0,Fase 1 (3° e 4° ano),-1,2023,7/22/2014,6.25,,
RA-963,ALFA,ALFA Q - G2/G3,Aluno-963,,9,Feminino,2023,Pública,Topázio,8.6142,2.0,9.5,9.8,7.52,8.5,8.3,8.7,,10.01,5.0,Fase 1 (3° e 4° ano),-1,2023,2014-05-09 00:00:00,7.5,,
RA-964,ALFA,ALFA Q - G2/G3,Aluno-964,,9,Masculino,2023,Pública,Ametista,7.7997,2.0,8.5,9.4,7.52,7.2,7.3,7.0,,8.5,5.0,Fase 1 (3° e 4° ano),-1,2023,4/30/2014,6.875,,
RA-965,ALFA,ALFA Q - G2/G3,Aluno-965,,9,Feminino,2023,Pública,Agata,6.4832,2.0,8.5,8.2,6.27,4.7,5.3,4.0,,7.18,5.0,Fase 1 (3° e 4° ano),-1,2023,3/26/2014,5.0,,
RA-966,ALFA,ALFA Q - G2/G3,Aluno-966,,9,Masculino,2023,Pública,Ametista,7.44345,2.0,10.0,10.0,7.52,5.0,5.0,5.0,,7.675,5.0,Fase 1 (3° e 4° ano),-1,2023,2014-05-06 00:00:00,6.5625,,
RA-967,ALFA,ALFA Q - G2/G3,Aluno-967,,10,Masculino,2023,Pública,Ametista,7.1347,2.0,9.5,8.0,7.52,6.5,6.5,6.5,,7.35,5.0,Fase 2 (5° e 6° ano),-2,2023,2013-09-09 00:00:00,5.625,,
RA-968,ALFA,ALFA Q - G2/G3,Aluno-968,,9,Feminino,2023,Pública,Topázio,8.4942,2.0,9.0,9.7,7.52,8.3,8.0,8.5,,10.01,5.0,Fase 1 (3° e 4° ano),-1,2023,2014-08-05 00:00:00,7.5,,
RA-812,ALFA,ALFA Q - G2/G3,Aluno-812,,8,Masculino,2022,Pública,Topázio,8.0357,2.0,9.5,9.1,7.52,5.8,6.3,5.3,,8.33,10.0,ALFA (1° e 2° ano),0,2023,11/30/2014,6.875,,
RA-969,ALFA,ALFA Q - G2/G3,Aluno-969,,8,Masculino,2023,Pública,Ametista,7.7692,2.0,8.5,9.7,7.52,5.5,6.0,5.0,,7.51,10.0,ALFA (1° e 2° ano),0,2023,8/17/2015,6.25,,
RA-970,ALFA,ALFA R - G0/G1,Aluno-970,,8,Feminino,2023,Pública,Topázio,8.9977,2.0,8.5,8.1,7.52,9.4,9.2,9.5,,9.84,10.0,ALFA (1° e 2° ano),0,2023,2015-02-06 00:00:00,9.375,,
RA-971,ALFA,ALFA R - G0/G1,Aluno-971,,8,Masculino,2023,Pública,Ametista,7.0169,2.0,7.8,6.4,3.77,6.9,5.5,8.3,,8.17,10.0,ALFA (1° e 2° ano),0,2023,2015-04-03 00:00:00,5.625,,
RA-972,ALFA,ALFA R - G0/G1,Aluno-972,,8,Masculino,2023,Pública,Ametista,7.5427,2.0,9.0,9.1,3.77,6.0,6.2,5.7,,7.84,10.0,ALFA (1° e 2° ano),0,2023,9/24/2015,6.875,,
RA-973,ALFA,ALFA R - G0/G1,Aluno-973,,9,Masculino,2023,Pública,Quartzo,5.82875,2.0,0.0,8.6,3.77,5.2,6.2,4.1,,7.415,5.0,Fase 1 (3° e 4° ano),-1,2023,2014-12-02 00:00:00,7.1875,,
RA-974,ALFA,ALFA R - G0/G1,Aluno-974,,7,Masculino,2023,Pública,Topázio,8.4752,2.0,9.0,9.1,3.77,8.8,8.8,8.8,,9.34,10.0,ALFA (1° e 2° ano),0,2023,2015-09-12 00:00:00,7.5,,
RA-975,ALFA,ALFA R - G0/G1,Aluno-975,,7,Feminino,2023,Pública,Ametista,7.7803,2.0,7.9,9.2,7.52,6.5,7.2,5.8,,7.67,10.0,ALFA (1° e 2° ano),0,2023,2015-04-12 00:00:00,5.625,,
RA-976,ALFA,ALFA R - G0/G1,Aluno-976,,8,Masculino,2023,Pública,Topázio,8.39895,2.0,9.5,9.2,6.27,8.6,9.0,8.2,,8.34,10.0,ALFA (1° e 2° ano),0,2023,2015-04-04 00:00:00,5.9375,,
RA-977,ALFA,ALFA R - G0/G1,Aluno-977,,7,Feminino,2023,Pública,Ametista,7.1717,2.0,8.5,7.4,5.02,5.8,5.7,5.9,,8.085,10.0,ALFA (1° e 2° ano),0,2023,12/30/2015,5.625,,
RA-978,ALFA,ALFA R - G0/G1,Aluno-978,,7,Feminino,2023,Pública,Topázio,8.3877,2.0,9.0,9.8,3.77,8.6,8.7,8.5,,9.34,10.0,ALFA (1° e 2° ano),0,2023,2015-10-11 00:00:00,5.625,,
RA-979,ALFA,ALFA S - G2/G3,Aluno-979,,8,Masculino,2023,Pública,Topázio,8.1617,2.0,9.5,9.6,6.27,6.0,6.0,6.0,,9.51,10.0,ALFA (1° e 2° ano),0,2023,7/19/2015,5.625,,
RA-980,ALFA,ALFA S - G2/G3,Aluno-980,,8,Feminino,2023,Pública,Ametista,7.1425,2.0,0.0,9.8,5.02,6.3,6.5,6.0,,9.34,10.0,ALFA (1° e 2° ano),0,2023,9/19/2015,5.625,,
RA-808,ALFA,ALFA S - G2/G3,Aluno-808,,9,Masculino,2022,Pública,Topázio,8.1932,2.0,10.0,10.0,2.52,8.7,8.7,8.7,,9.755,5.0,Fase 1 (3° e 4° ano),-1,2023,9/27/2014,7.5,,
RA-981,ALFA,ALFA S - G2/G3,Aluno-981,,7,Feminino,2023,Pública,Ametista,7.5367,2.0,9.5,9.1,2.52,5.8,5.7,5.8,,9.01,10.0,ALFA (1° e 2° ano),0,2023,1/20/2016,5.625,,
RA-982,ALFA,ALFA S - G2/G3,Aluno-982,,7,Masculino,2023,Pública,Ametista,7.1215,2.0,0.0,9.1,2.52,8.6,8.7,8.5,,8.835,10.0,ALFA (1° e 2° ano),0,2023,11/19/2015,5.625,,
RA-983,ALFA,ALFA S - G2/G3,Aluno-983,,8,Masculino,2023,Pública,Topázio,8.3502,2.0,8.5,9.9,2.52,8.8,8.8,8.8,,9.415,10.0,ALFA (1° e 2° ano),0,2023,10/28/2014,6.25,,
RA-984,ALFA,ALFA S - G2/G3,Aluno-984,,8,Feminino,2023,Pública,Topázio,8.8177,2.0,8.0,9.8,7.52,8.3,8.3,8.2,,9.84,10.0,ALFA (1° e 2° ano),0,2023,12/21/2014,6.875,,
RA-985,ALFA,ALFA S - G2/G3,Aluno-985,,8,Masculino,2023,Pública,Ametista,7.6247,2.0,9.0,9.3,2.52,6.8,7.3,6.2,,8.5,10.0,ALFA (1° e 2° ano),0,2023,8/23/2015,5.625,,
RA-986,ALFA,ALFA S - G2/G3,Aluno-986,,8,Feminino,2023,Pública,Topázio,8.0107,2.0,9.5,9.1,2.52,8.3,8.3,8.3,,8.83,10.0,ALFA (1° e 2° ano),0,2023,6/15/2015,5.625,,
RA-987,ALFA,ALFA S - G2/G3,Aluno-987,,8,Masculino,2023,Pública,Ametista,7.6765,2.0,0.0,9.8,6.27,7.3,7.5,7.0,,9.76,10.0,ALFA (1° e 2° ano),0,2023,7/26/2015,6.875,,
RA-988,ALFA,ALFA S - G2/G3,Aluno-988,,9,Feminino,2023,Pública,Ametista,7.9568,2.0,7.9,8.1,7.52,8.5,8.5,8.5,,9.84,5.0,Fase 1 (3° e 4° ano),-1,2023,2014-02-05 00:00:00,6.25,,
RA-989,ALFA,ALFA S - G2/G3,Aluno-989,,9,Masculino,2023,Pública,Ametista,7.7242,2.0,9.5,8.1,2.52,8.3,8.7,7.8,,10.01,5.0,Fase 1 (3° e 4° ano),-1,2023,9/18/2014,7.5,,
RA-677,ALFA,ALFA T - G2/G3,Aluno-677,,9,Feminino,2021,Pública,Topázio,8.5257,2.0,10.0,8.2,10.0,8.7,9.0,8.3,,9.84,5.0,Fase 1 (3° e 4° ano),-1,2023,4/28/2014,6.875,,
RA-990,ALFA,ALFA T - G2/G3,Aluno-990,,9,Masculino,2023,Pública,Ametista,7.254,2.0,0.0,8.5,7.52,7.8,8.3,7.2,,10.01,5.0,Fase 1 (3° e 4° ano),-1,2023,2014-12-06 00:00:00,7.5,,
RA-991,ALFA,ALFA T - G2/G3,Aluno-991,,9,Feminino,2023,Pública,Ametista,7.7687,2.0,10.0,9.1,3.14,7.7,8.0,7.3,,9.585,5.0,Fase 1 (3° e 4° ano),-1,2023,4/30/2014,6.875,,
RA-992,ALFA,ALFA T - G2/G3,Aluno-992,,10,Masculino,2023,Pública,Ametista,7.2722,2.0,9.5,8.2,3.14,8.0,8.2,7.8,,8.84,5.0,Fase 2 (5° e 6° ano),-2,2023,12/13/2012,5.0,,
RA-703,ALFA,ALFA T - G2/G3,Aluno-703,,11,Masculino,2021,Pública,Agata,6.2737,2.0,9.5,8.4,3.14,4.6,4.8,4.3,,6.16,5.0,Fase 2 (5° e 6° ano),-2,2023,6/25/2012,6.875,,
RA-993,ALFA,ALFA T - G2/G3,Aluno-993,,8,Feminino,2023,Pública,Topázio,8.7592,2.0,9.5,9.8,3.77,8.6,8.5,8.7,,10.01,10.0,ALFA (1° e 2° ano),0,2023,10/13/2015,7.5,,
RA-674,ALFA,ALFA T - G2/G3,Aluno-674,,9,Masculino,2022,Pública,Agata,6.6328,2.0,7.9,8.5,3.77,5.2,5.3,5.0,,8.67,5.0,Fase 1 (3° e 4° ano),-1,2023,9/24/2014,5.0,,
RA-994,ALFA,ALFA T - G2/G3,Aluno-994,,8,Feminino,2023,Pública,Ametista,7.4127,2.0,9.5,9.4,3.77,6.0,6.2,5.7,,7.265,10.0,ALFA (1° e 2° ano),0,2023,12/18/2014,5.625,,
RA-995,ALFA,ALFA T - G2/G3,Aluno-995,,11,Feminino,2023,Pública,Agata,6.4782,2.0,9.5,7.9,3.77,5.1,5.3,4.8,,7.18,5.0,Fase 2 (5° e 6° ano),-2,2023,2012-02-04 00:00:00,6.25,,
RA-996,ALFA,ALFA T - G2/G3,Aluno-996,,9,Masculino,2023,Pública,Topázio,8.1892,2.0,10.0,9.2,3.77,8.6,8.7,8.5,,10.01,5.0,Fase 1 (3° e 4° ano),-1,2023,2/21/2014,7.5,,
RA-997,ALFA,ALFA T - G2/G3,Aluno-997,,8,Masculino,2023,Pública,Ametista,7.5687,2.0,7.5,8.7,3.77,7.1,7.2,7.0,,8.595,10.0,ALFA (1° e 2° ano),0,2023,4/25/2015,5.625,,
RA-998,ALFA,ALFA U - G2/G3,Aluno-998,,11,Feminino,2023,Pública,Ametista,7.9752,2.0,9.5,9.3,3.77,7.9,8.0,7.7,,9.84,5.0,Fase 2 (5° e 6° ano),-2,2023,10/20/2012,7.5,,
RA-999,ALFA,ALFA U - G2/G3,Aluno-999,,9,Masculino,2023,Pública,Topázio,8.0352,2.0,9.0,9.4,3.77,8.3,8.3,8.3,,9.84,5.0,Fase 1 (3° e 4° ano),-1,2023,2014-04-07 00:00:00,7.5,,
RA-750,ALFA,ALFA U - G2/G3,Aluno-750,,11,Masculino,2019,Pública,Quartzo,5.6857,2.0,9.5,7.7,3.14,3.4,3.3,3.5,,6.32,5.0,Fase 2 (5° e 6° ano),-2,2023,2012-06-03 00:00:00,4.375,,
RA-770,ALFA,ALFA U - G2/G3,Aluno-770,,8,Masculino,2022,Pública,Agata,6.6785,2.0,0.0,8.3,3.77,5.9,6.0,5.7,,8.92,10.0,ALFA (1° e 2° ano),0,2023,2015-07-06 00:00:00,6.875,,
RA-771,ALFA,ALFA U - G2/G3,Aluno-771,,7,Feminino,2022,Pública,Ametista,7.056,2.0,0.0,8.8,3.14,8.2,8.2,8.2,,8.585,10.0,ALFA (1° e 2° ano),0,2023,2015-05-11 00:00:00,6.25,,
RA-1000,ALFA,ALFA U - G2/G3,Aluno-1000,,8,Feminino,2023,Pública,Ametista,7.9162,2.0,8.5,9.4,3.77,7.0,7.0,7.0,,8.92,10.0,ALFA (1° e 2° ano),0,2023,4/20/2015,6.25,,
RA-830,ALFA,ALFA U - G2/G3,Aluno-830,,9,Feminino,2022,Pública,Agata,6.78,2.0,0.0,8.9,3.14,8.3,8.3,8.3,,9.505,5.0,Fase 1 (3° e 4° ano),-1,2023,10/30/2013,6.25,,
RA-1001,ALFA,ALFA U - G2/G3,Aluno-1001,,9,Feminino,2023,Pública,Topázio,8.1162,2.0,9.0,9.1,7.52,7.8,8.3,7.3,,9.17,5.0,Fase 1 (3° e 4° ano),-1,2023,3/13/2014,7.5,,
RA-1002,ALFA,ALFA U - G2/G3,Aluno-1002,,9,Feminino,2023,Pública,Ametista,7.9012,2.0,9.0,9.7,7.52,7.0,7.0,7.0,,8.92,5.0,Fase 1 (3° e 4° ano),-1,2023,7/13/2014,6.25,,
RA-1003,ALFA,ALFA V - G0/G1,Aluno-1003,,8,Masculino,2023,Pública,Ametista,7.6522,2.0,9.0,8.5,7.52,4.0,8.0,0.0,,8.75,10.0,ALFA (1° e 2° ano),0,2023,1/22/2015,7.5,,
RA-835,ALFA,ALFA V - G0/G1,Aluno-835,,8,Masculino,2022,Pública,Topázio,8.2467,2.0,8.0,8.5,7.52,8.7,8.5,8.9,,7.835,10.0,ALFA (1° e 2° ano),0,2023,12/26/2014,6.875,,
RA-1004,ALFA,ALFA V - G0/G1,Aluno-1004,,8,Feminino,2023,Pública,Topázio,8.3137,2.0,9.0,9.6,7.52,7.9,6.5,9.2,,7.42,10.0,ALFA (1° e 2° ano),0,2023,12/29/2014,6.875,,
RA-1005,ALFA,ALFA V - G0/G1,Aluno-1005,,8,Masculino,2023,Pública,Topázio,8.4252,2.0,9.5,7.9,7.52,8.8,8.4,9.2,,8.165,10.0,ALFA (1° e 2° ano),0,2023,7/16/2015,7.5,,
RA-1006,ALFA,ALFA V - G0/G1,Aluno-1006,,8,Feminino,2023,Pública,Topázio,8.5922,2.0,9.0,9.3,7.52,8.7,8.7,8.6,,8.0,10.0,ALFA (1° e 2° ano),0,2023,5/24/2015,7.5,,
RA-705,ALFA,ALFA V - G0/G1,Aluno-705,,10,Masculino,2022,Pública,Agata,6.982,2.0,0.0,8.3,6.89,8.8,8.9,8.6,,8.165,5.0,Fase 2 (5° e 6° ano),-2,2023,10/29/2012,7.5,,
RA-1007,ALFA,ALFA V - G0/G1,Aluno-1007,,8,Masculino,2023,Pública,Topázio,8.0782,2.0,9.0,7.4,7.52,8.3,8.1,8.5,,7.68,10.0,ALFA (1° e 2° ano),0,2023,2015-06-01 00:00:00,7.5,,
RA-1008,ALFA,ALFA V - G0/G1,Aluno-1008,,8,Masculino,2023,Pública,Topázio,8.13595,2.0,9.0,8.6,7.52,8.4,7.5,9.2,,7.5,10.0,ALFA (1° e 2° ano),0,2023,5/22/2015,5.9375,,
RA-729,ALFA,ALFA V - G0/G1,Aluno-729,,9,Feminino,2022,Pública,Ametista,7.26545,2.0,8.0,9.1,3.77,8.6,8.2,8.9,,7.01,5.0,Fase 1 (3° e 4° ano),-1,2023,2014-03-09 00:00:00,6.5625,,
RA-1009,ALFA,ALFA Y - G0/G1,Aluno-1009,,8,Masculino,2023,Pública,Ametista,7.245,2.0,0.0,9.0,3.77,8.8,8.3,9.2,,7.84,10.0,ALFA (1° e 2° ano),0,2023,3/27/2015,7.5,,
RA-1010,ALFA,ALFA Y - G0/G1,Aluno-1010,,8,Masculino,2023,Pública,Topázio,8.70645,2.0,9.5,10.0,3.77,9.4,9.0,9.8,,8.59,10.0,ALFA (1° e 2° ano),0,2023,1/14/2015,7.8125,,
RA-1011,ALFA,ALFA Y - G0/G1,Aluno-1011,,7,Masculino,2023,Pública,Ametista,7.33095,2.0,9.5,8.6,3.77,5.2,5.5,4.8,,7.675,10.0,ALFA (1° e 2° ano),0,2023,2015-03-11 00:00:00,7.1875,,
RA-1012,ALFA,ALFA Y - G0/G1,Aluno-1012,,8,Feminino,2023,Pública,Ametista,7.96495,2.0,10.0,9.9,3.77,6.6,7.0,6.2,,7.845,10.0,ALFA (1° e 2° ano),0,2023,5/18/2015,7.1875,,
RA-1013,ALFA,ALFA Y - G0/G1,Aluno-1013,,7,Masculino,2023,Pública,Ametista,7.6237,2.0,9.0,9.6,4.39,8.3,7.0,9.5,,5.76,10.0,ALFA (1° e 2° ano),0,2023,12/25/2015,5.625,,
RA-1014,ALFA,ALFA Y - G0/G1,Aluno-1014,,7,Feminino,2023,Pública,Topázio,8.2582,2.0,9.0,9.7,3.77,8.2,7.7,8.7,,8.255,10.0,ALFA (1° e 2° ano),0,2023,2016-05-02 00:00:00,7.5,,
RA-1015,FASE 1,1A,Aluno-1015,,10,Feminino,2023,Pública,Ametista,7.538908333,3.0,10.0,9.3,6.27,6.3,5.0,7.6,,7.786666667,5.0,Fase 2 (5° e 6° ano),-1,2023,6/24/2013,7.34375,,
RA-734,FASE 1,1A,Aluno-734,,11,Feminino,2022,Pública,Ametista,7.305908333,3.0,8.5,8.0,7.52,6.9,6.8,7.0,,7.446666667,5.0,Fase 2 (5° e 6° ano),-1,2023,10/14/2012,7.34375,,
RA-687,FASE 1,1A,Aluno-687,,10,Masculino,2022,Pública,Ametista,7.617533333,3.0,8.0,9.0,7.52,6.9,6.7,7.0,,8.226666667,5.0,Fase 2 (5° e 6° ano),-1,2023,1/26/2013,7.5,,
RA-1016,FASE 1,1A,Aluno-1016,,10,Feminino,2023,Pública,Ametista,7.762575,3.0,10.0,9.5,7.52,6.7,5.8,7.5,,7.73,5.0,Fase 2 (5° e 6° ano),-1,2023,3/14/2013,7.34375,,
RA-1017,FASE 1,1A,Aluno-1017,,11,Masculino,2023,Pública,Agata,6.505333333,3.0,0.0,8.0,5.02,7.7,7.0,8.3,,8.116666667,5.0,Fase 2 (5° e 6° ano),-1,2023,2012-01-10 00:00:00,7.5,,
RA-688,FASE 1,1A,Aluno-688,,10,Masculino,2022,Pública,Topázio,8.0442,3.0,8.5,9.3,7.52,8.6,8.2,9.0,,8.06,5.0,Fase 2 (5° e 6° ano),-1,2023,8/20/2013,7.5,,
RA-1018,FASE 1,1A,Aluno-1018,,9,Masculino,2023,Pública,Agata,6.824,3.0,0.0,8.5,5.02,6.3,5.8,6.8,,8.06,10.0,Fase 1 (3° e 4° ano),0,2023,2013-10-12 00:00:00,7.5,,
RA-696,FASE 1,1A,Aluno-696,,9,Feminino,2021,Pública,Ametista,7.172666667,3.0,0.0,9.4,5.02,6.7,5.2,8.2,,8.503333333,10.0,Fase 1 (3° e 4° ano),0,2023,2013-05-12 00:00:00,7.5,,
RA-1019,FASE 1,1A,Aluno-1019,,8,Feminino,2023,Pública,Ametista,7.177033333,3.0,7.5,9.1,5.02,4.3,0.5,8.0,,7.836666667,10.0,ALFA (1° e 2° ano),1,2023,3/23/2015,6.875,,
RA-514,FASE 1,1A,Aluno-514,,10,Feminino,2022,Pública,Quartzo,5.823133333,3.0,7.9,7.5,2.52,5.5,4.2,6.8,,5.896666667,5.0,Fase 2 (5° e 6° ano),-1,2023,2013-05-05 00:00:00,5.0,,
RA-1020,FASE 1,1A,Aluno-1020,,9,Feminino,2023,Pública,Ametista,7.612283333,3.0,10.0,9.1,2.52,6.1,4.3,7.8,,8.056666667,10.0,Fase 1 (3° e 4° ano),0,2023,7/25/2014,7.1875,,
