RA,Nome Anonimizado,Fase,Pedra atual,INDE atual,prob_lgbm,prob_xgb,prob_mlp,prob_stacking,prob_final,top_3_fatores,faixa_risco,prob_experimental
RA-1030,Aluno-1030,2,Ametista,7.740191604,0.4613,0.4771,0.5057,0.4005,0.4186,Defasagem(−0.47) | gap_Mat_Por(−0.22) | gap_Por_Ing(−0.19),Médio,0.3805
RA-1512,Aluno-1512,2,Topázio,8.10445,0.5151,0.5165,0.4869,0.3314,0.4184,Defasagem(−0.39) | Idade(+0.20) | gap_Mat_Por(−0.15),Médio,0.4347
RA-433,Aluno-433,3,Ametista,7.218157142866668,0.6111,0.6087,0.8127,0.6357,0.4183,Defasagem(−0.33) | IPV(−0.21) | IAA_decile_fase(+0.21),Médio,0.53
RA-1069,Aluno-1069,2,Ametista,7.678917391300001,0.4881,0.4674,0.5378,0.3851,0.4177,Defasagem(−0.40) | Idade(+0.22) | gap_Mat_Por(−0.16),Médio,0.3955
RA-1094,Aluno-1094,3,Topázio,8.0164785714,0.5,0.5178,0.3396,0.2771,0.4166,Defasagem(−0.43) | IPV(+0.17) | Ing(−0.16),Médio,0.4092
RA-189,Aluno-189,5,Topázio,8.586533333333334,0.5084,0.5667,0.5843,0.4897,0.416,Defasagem(−0.41) | IPV(+0.16) | Ing(−0.13),Médio,0.4584
RA-1628,Aluno-1628,6,Ametista,7.500131368600001,0.4651,0.4427,0.4472,0.2804,0.4158,Defasagem(−0.33) | Ing(−0.25) | IPS_z_faseAno(+0.21),Médio,0.3311
RA-1514,Aluno-1514,2,Ametista,7.520576262600001,0.4298,0.5007,0.4722,0.3266,0.4158,Defasagem(−0.32) | IPV(−0.21) | Idade(+0.18),Médio,0.3864
RA-1341,Aluno-1341,0,Ametista,7.862906349200001,0.4425,0.3908,0.5604,0.3332,0.4155,Idade(−0.62) | FaseIdeal_num(−0.16) | gap_Por_Ing(+0.14),Médio,0.3408
RA-1169,Aluno-1169,4,Agata,6.885305555533334,0.49,0.5236,0.3536,0.3255,0.4155,Ing(−0.34) | IPV(−0.19) | Idade(+0.14),Médio,0.426
