RA,Nome Anonimizado,Fase,Pedra atual,INDE atual,prob_composite,faixa_risco_composite
RA-586,Aluno-586,3,Topázio,8.702387301666668,0.5942,Médio
RA-419,Aluno-419,4,Topázio,8.355707894766669,0.5938,Médio
RA-1454,Aluno-1454,2,Ametista,7.7042238095,0.5928,Médio
RA-522,Aluno-522,2,Topázio,8.6777119048,0.5918,Médio
RA-1570,Aluno-1570,4,Ametista,7.894084175066667,0.5916,Médio
RA-278,Aluno-278,5,Topázio,8.907314492800001,0.5909,Médio
RA-420,Aluno-420,4,Ametista,7.544228947400001,0.5904,Médio
RA-1172,Aluno-1172,5,Quartzo,5.719565079333334,0.5902,Médio
RA-529,Aluno-529,2,Quartzo,5.2661285715,0.5897,Médio
RA-476,Aluno-476,3,Agata,6.7359982456,0.5897,Médio
RA-725,Aluno-725,0,Ametista,7.0900771929,0.5897,Médio
RA-1407,Aluno-1407,1,Ametista,7.546086363600001,0.5895,Médio
RA-464,Aluno-464,3,Agata,6.872009064333334,0.5895,Médio
RA-1469,Aluno-1469,2,Ametista,7.459755555500001,0.5892,Médio
RA-633,Aluno-633,3,Quartzo,5.228470175466667,0.5878,Médio
RA-58,Aluno-58,7,Topázio,8.7713289474,0.5873,Médio
RA-491,Aluno-491,2,Agata,6.995247619100001,0.5861,Médio
RA-161,Aluno-161,5,Ametista,7.258445588333334,0.5859,Médio
RA-806,Aluno-806,1,Agata,6.972777380900001,0.5853,Médio
RA-1059,Aluno-1059,2,Topázio,8.678450000000002,0.5853,Médio
RA-1631,Aluno-1631,6,Topázio,8.186433333333333,0.5852,Médio
RA-563,Aluno-563,3,Topázio,8.595447619066668,0.5852,Médio
RA-1084,Aluno-1084,3,Agata,6.9071109649333335,0.5847,Médio
RA-197,Aluno-197,5,Topázio,8.568238636333334,0.5844,Médio
RA-1178,Aluno-1178,5,Topázio,8.0934746032,0.5842,Médio
RA-392,Aluno-392,4,Quartzo,4.3639463364,0.5841,Médio
RA-455,Aluno-455,3,Ametista,7.098988888900001,0.5837,Médio
RA-1054,Aluno-1054,2,Agata,6.985788509300001,0.5827,Médio
RA-663,Aluno-663,2,Agata,6.696419461700001,0.5822,Médio
RA-1575,Aluno-1575,4,Ametista,7.318459391466667,0.5822,Médio
RA-383,Aluno-383,4,Topázio,8.036024386733335,0.5818,Médio
RA-1463,Aluno-1463,2,Topázio,9.074561111,0.5818,Médio
RA-705,Aluno-705,1,Quartzo,5.294247619100001,0.5808,Médio
RA-649,Aluno-649,3,Agata,6.985329691766667,0.5806,Médio
RA-407,Aluno-407,4,Ametista,7.0875128168,0.5806,Médio
RA-1524,Aluno-1524,3,Quartzo,5.5473805555333335,0.58,Médio
RA-1173,Aluno-1173,5,Topázio,8.220132915666667,0.5799,Médio
RA-590,Aluno-590,2,Agata,6.712378053800001,0.5798,Médio
RA-1087,Aluno-1087,3,Agata,6.913936532,0.5796,Médio
RA-1465,Aluno-1465,2,Ametista,7.3344666666,0.5794,Médio
RA-1586,Aluno-1586,4,Agata,6.555764327466668,0.5786,Médio
RA-401,Aluno-401,3,Agata,6.728911403533334,0.5782,Médio
RA-181,Aluno-181,5,Ametista,7.439841414133334,0.5771,Médio
RA-1616,Aluno-1616,5,Ametista,7.147738235266668,0.5767,Médio
RA-1405,Aluno-1405,1,Topázio,8.4749727273,0.5762,Médio
RA-1430,Aluno-1430,1,Ametista,7.864033333300001,0.5753,Médio
RA-871,Aluno-871,1,Ametista,7.2917293148,0.5747,Médio
RA-1540,Aluno-1540,3,Quartzo,5.696233333333334,0.5745,Médio
RA-107,Aluno-107,5,Agata,6.676130827066667,0.5742,Médio
RA-1203,Aluno-1203,6,Topázio,8.9495245614,0.5737,Médio
RA-187,Aluno-187,4,Topázio,8.568424074066666,0.5732,Médio
RA-321,Aluno-321,5,Topázio,8.125807932933334,0.5732,Médio
RA-1201,Aluno-1201,5,Topázio,8.376195238033333,0.5731,Médio
RA-1163,Aluno-1163,4,Topázio,8.6794789474,0.5714,Médio
RA-1530,Aluno-1530,3,Quartzo,4.6391535714200005,0.5711,Médio
RA-652,Aluno-652,2,Ametista,7.361896969700001,0.571,Médio
RA-743,Aluno-743,1,Ametista,7.655745454500001,0.5709,Médio
RA-64,Aluno-64,7,Topázio,8.743607059266667,0.5704,Médio
RA-338,Aluno-338,4,Topázio,8.052795331466667,0.5704,Médio
RA-1397,Aluno-1397,1,Ametista,7.8280333334,0.5703,Médio
RA-1482,Aluno-1482,2,Quartzo,5.2257,0.5702,Médio
RA-664,Aluno-664,2,Ametista,7.5017244089,0.5692,Médio
RA-1447,Aluno-1447,1,Ametista,7.5402350878,0.5684,Médio
RA-1049,Aluno-1049,1,Agata,6.821885606,0.5683,Médio
RA-713,Aluno-713,2,Ametista,7.467500983400001,0.5681,Médio
RA-670,Aluno-670,3,Topázio,8.8602539683,0.5681,Médio
RA-1048,Aluno-1048,2,Ametista,7.5198666666,0.5679,Médio
RA-1097,Aluno-1097,3,Quartzo,5.475324895633334,0.5675,Médio
RA-1509,Aluno-1509,2,Ametista,7.560230303200001,0.5671,Médio
RA-1162,Aluno-1162,4,Ametista,7.473167836266667,0.5666,Médio
RA-1478,Aluno-1478,2,Agata,6.7210333334,0.5664,Médio
RA-1583,Aluno-1583,4,Ametista,7.8197579711,0.5659,Médio
RA-1099,Aluno-1099,3,Ametista,7.332483333333334,0.5659,Médio
RA-1517,Aluno-1517,3,Agata,6.240744444466667,0.5655,Médio
RA-390,Aluno-390,3,Agata,6.5472236842,0.5646,Médio
RA-696,Aluno-696,2,Ametista,7.482680952299999,0.5646,Médio
RA-891,Aluno-891,0,Topázio,8.035957575700001,0.5646,Médio
RA-990,Aluno-990,1,Ametista,7.812283333400001,0.5641,Médio
RA-802,Aluno-802,2,Ametista,7.8317974025,0.5638,Médio
RA-382,Aluno-382,4,Quartzo,5.805712280733333,0.5638,Médio
RA-1043,Aluno-1043,1,Ametista,7.539847562500002,0.5629,Médio
RA-646,Aluno-646,3,Ametista,7.715491666666668,0.5628,Médio
RA-1568,Aluno-1568,4,Ametista,7.8003261438,0.5621,Médio
RA-470,Aluno-470,4,Agata,6.981130848,0.5614,Médio
RA-1452,Aluno-1452,2,Topázio,8.6268666667,0.5614,Médio
RA-1468,Aluno-1468,2,Topázio,8.1281028822,0.5608,Médio
RA-1574,Aluno-1574,4,Ametista,7.777244180000001,0.5589,Médio
RA-898,Aluno-898,1,Ametista,7.8661333334,0.5581,Médio
RA-623,Aluno-623,3,Agata,6.357733333300001,0.5578,Médio
RA-571,Aluno-571,2,Agata,6.2964554347999995,0.5561,Médio
RA-704,Aluno-704,1,Agata,6.8121156785000005,0.5559,Médio
RA-893,Aluno-893,1,Topázio,8.8910333334,0.5559,Médio
RA-584,Aluno-584,3,Agata,6.752914393933334,0.5558,Médio
RA-352,Aluno-352,4,Quartzo,5.9794829346,0.5557,Médio
RA-424,Aluno-424,4,Ametista,7.341187280733334,0.5537,Médio
RA-594,Aluno-594,2,Agata,6.890966666600001,0.5533,Médio
RA-645,Aluno-645,2,Ametista,7.502239394,0.5527,Médio
RA-1093,Aluno-1093,3,Topázio,8.5079027778,0.5524,Médio
RA-408,Aluno-408,3,Agata,6.5276296297,0.5517,Médio
RA-1572,Aluno-1572,4,Topázio,8.080345634866667,0.5508,Médio
RA-1627,Aluno-1627,6,Ametista,7.481547222200001,0.5495,Médio
RA-1081,Aluno-1081,4,Topázio,8.5452952381,0.5494,Médio
RA-1077,Aluno-1077,3,Quartzo,5.543865740733334,0.5493,Médio
RA-1040,Aluno-1040,2,Ametista,7.764199999900001,0.549,Médio
RA-549,Aluno-549,2,Agata,6.5398187888,0.5488,Médio
RA-666,Aluno-666,3,Topázio,8.185838802933334,0.5486,Médio
RA-376,Aluno-376,3,Quartzo,5.896573588800001,0.548,Médio
RA-331,Aluno-331,3,Agata,6.231045707066668,0.5476,Médio
RA-458,Aluno-458,3,Quartzo,5.680161507933333,0.5475,Médio
RA-592,Aluno-592,3,Ametista,7.121622213600001,0.547,Médio
RA-1411,Aluno-1411,1,Agata,6.886950000000001,0.5467,Médio
RA-731,Aluno-731,2,Quartzo,4.7704873377000006,0.5466,Médio
RA-1474,Aluno-1474,2,Ametista,7.384207505200001,0.5442,Médio
